Dates,monkey_growth
2020-05-01,22.32
2020-05-02,14.29
2020-05-03,14.29
2020-05-04,14.29
2020-05-05,14.29
2020-05-06,14.29
2020-05-07,14.29
2020-05-08,14.29
2020-05-09,14.29
2020-05-10,14.29
2020-05-11,14.29
2020-05-12,10.53
2020-05-13,11.19
2020-05-14,7.97
2020-05-15,6.43
2020-05-16,3.47
2020-05-17,2.05
2020-05-18,-1.32
2020-05-19,-1.32
2020-05-20,-1.32
2020-05-21,-1.32
2020-05-22,-2.36
2020-05-23,-2.36
2020-05-24,-2.36
2020-05-25,-2.36
2020-05-26,-2.36
2020-05-27,-2.36
2020-05-28,-2.36
2020-05-29,-2.36
2020-05-30,-2.36
2020-05-31,-2.36
2020-06-01,-2.36
2020-06-02,-2.36
2020-06-03,-2.53
2020-06-04,-2.53
2020-06-05,-2.53
2020-06-06,-2.53
2020-06-07,-2.53
2020-06-08,-2.53
2020-06-09,-2.53
2020-06-10,-2.53
2020-06-11,-2.69
2020-06-12,-3.66
2020-06-13,-2.58
2020-06-14,-2.58
2020-06-15,-1.94
2020-06-16,-1.94
2020-06-17,-1.94
2020-06-18,-1.29
2020-06-19,-1.29
2020-06-20,-1.29
2020-06-21,-0.65
2020-06-22,-0.65
2020-06-23,-0.65
2020-06-24,-0.65
2020-06-25,-0.65
2020-06-26,-0.65
2020-06-27,-0.65
2020-06-28,0.00
2020-06-29,0.00
2020-06-30,0.00
2020-07-01,0.00
2020-07-02,0.65
2020-07-03,0.65
2020-07-04,0.65
2020-07-05,1.29
2020-07-06,1.29
2020-07-07,2.58
2020-07-08,4.52
2020-07-09,6.97
2020-07-10,6.97
2020-07-11,12.15
2020-07-12,15.13
2020-07-13,15.13
2020-07-14,16.33
2020-07-15,16.33
2020-07-16,16.33
2020-07-17,16.33
2020-07-18,16.33
2020-07-19,16.33
2020-07-20,16.33
2020-07-21,16.33
2020-07-22,16.33
2020-07-23,10.53
2020-07-24,13.55
2020-07-25,16.33
2020-07-26,16.33
2020-07-27,16.33
2020-07-28,16.33
2020-07-29,16.33
2020-07-30,16.33
2020-07-31,16.33
2020-08-01,16.33
2020-08-02,16.33
2020-08-03,16.33
2020-08-04,16.33
2020-08-05,16.33
2020-08-06,16.33
2020-08-07,16.33
2020-08-08,16.33
2020-08-09,16.33
2020-08-10,16.33
2020-08-11,16.33
2020-08-12,16.33
2020-08-13,16.33
2020-08-14,16.33
2020-08-15,16.33
2020-08-16,16.33
2020-08-17,16.33
2020-08-18,16.33
2020-08-19,16.33
2020-08-20,16.33
2020-08-21,16.33
2020-08-22,16.33
2020-08-23,16.33
2020-08-24,16.33
2020-08-25,16.33
2020-08-26,16.33
2020-08-27,16.33
2020-08-28,16.33
2020-08-29,16.33
2020-08-30,16.33
2020-08-31,16.33